Game 1| Score 0| Mean 0.0
Game 235| Score 60| Mean 21.025531914893616
Game 236| Score 56| Mean 21.173728813559322
Game 237| Score 30| Mean 21.21097046413502
Game 238| Score 36| Mean 21.27310924369748
Game 239| Score 41| Mean 21.355648535564853
Game 240| Score 23| Mean 21.3625
Game 241| Score 32| Mean 21.406639004149376
Game 242| Score 32| Mean 21.450413223140497
Game 243| Score 29| Mean 21.48148148148148
Game 244| Score 23| Mean 21.487704918032787
Game 245| Score 41| Mean 21.56734693877551
Game 246| Score 9| Mean 21.516260162601625
Game 247| Score 33| Mean 21.562753036437247
Game 248| Score 24| Mean 21.572580645161292
Game 249| Score 32| Mean 21.6144578313253
Game 250| Score 15| Mean 21.588
Game 251| Score 31| Mean 21.625498007968126
Game 252| Score 21| Mean 21.623015873015873
Game 253| Score 57| Mean 21.76284584980237
Game 254| Score 43| Mean 21.846456692913385
Game 255| Score 48| Mean 21.949019607843137
Game 256| Score 39| Mean 22.015625
Game 257| Score 38| Mean 22.07782101167315
Game 258| Score 41| Mean 22.151162790697676
Game 259| Score 28| Mean 22.173745173745175
Game 260| Score 40| Mean 22.24230769230769
Game 261| Score 26| Mean 22.256704980842912
Game 262| Score 51| Mean 22.366412213740457
Game 263| Score 17| Mean 22.346007604562736
Game 264| Score 30| Mean 22.375
Game 265| Score 36| Mean 22.42641509433962
Game 266| Score 16| Mean 22.402255639097746
Game 267| Score 59| Mean 22.53932584269663
Game 268| Score 21| Mean 22.53358208955224
Game 269| Score 40| Mean 22.598513011152416
Game 270| Score 20| Mean 22.58888888888889
Game 271| Score 18| Mean 22.571955719557195
Game 272| Score 27| Mean 22.58823529411765
Game 273| Score 41| Mean 22.655677655677657
Game 274| Score 22| Mean 22.653284671532848
Game 275| Score 27| Mean 22.669090909090908
Game 276| Score 44| Mean 22.746376811594203
Game 277| Score 34| Mean 22.787003610108304
Game 278| Score 34| Mean 22.827338129496404
Game 279| Score 28| Mean 22.845878136200717
Game 280| Score 17| Mean 22.825
Game 281| Score 26| Mean 22.83629893238434
Game 282| Score 19| Mean 22.822695035460992
Game 283| Score 22| Mean 22.819787985865723
Game 284| Score 22| Mean 22.816901408450704
Game 285| Score 39| Mean 22.873684210526317
Game 286| Score 9| Mean 22.825174825174827
Game 287| Score 65| Mean 22.972125435540068
Game 288| Score 19| Mean 22.958333333333332
Game 289| Score 20| Mean 22.94809688581315
Game 290| Score 34| Mean 22.986206896551725
Game 291| Score 20| Mean 22.97594501718213
Game 292| Score 23| Mean 22.976027397260275
Game 293| Score 44| Mean 23.04778156996587
Game 294| Score 41| Mean 23.108843537414966
Game 295| Score 18| Mean 23.091525423728815
Game 296| Score 27| Mean 23.10472972972973
Game 297| Score 18| Mean 23.087542087542086
Game 298| Score 34| Mean 23.124161073825505
Game 299| Score 30| Mean 23.14715719063545
Game 300| Score 48| Mean 23.23
Game 301| Score 37| Mean 23.27574750830565
Game 302| Score 19| Mean 23.26158940397351
Game 303| Score 38| Mean 23.31023102310231
Game 304| Score 16| Mean 23.286184210526315
Game 305| Score 42| Mean 23.347540983606557
Game 306| Score 36| Mean 23.38888888888889
Game 307| Score 29| Mean 23.407166123778502
Game 308| Score 44| Mean 23.474025974025974
Game 309| Score 19| Mean 23.459546925566343
Game 310| Score 26| Mean 23.467741935483872
Game 311| Score 31| Mean 23.491961414790996
Game 312| Score 13| Mean 23.458333333333332
Game 313| Score 13| Mean 23.424920127795527
Game 314| Score 32| Mean 23.452229299363058
Game 315| Score 17| Mean 23.43174603174603
Game 316| Score 42| Mean 23.490506329113924
Game 317| Score 19| Mean 23.47634069400631
Game 318| Score 58| Mean 23.58490566037736
Game 319| Score 38| Mean 23.630094043887148
Game 320| Score 23| Mean 23.628125
Game 321| Score 19| Mean 23.613707165109034
Game 322| Score 33| Mean 23.642857142857142
Game 323| Score 18| Mean 23.625386996904023
Game 324| Score 15| Mean 23.598765432098766
Game 325| Score 48| Mean 23.673846153846153
Game 326| Score 12| Mean 23.63803680981595
Game 327| Score 48| Mean 23.712538226299696
Game 328| Score 22| Mean 23.70731707317073
Game 329| Score 24| Mean 23.70820668693009
Game 330| Score 27| Mean 23.71818181818182
Game 331| Score 49| Mean 23.794561933534744
Game 332| Score 24| Mean 23.795180722891565
Game 333| Score 7| Mean 23.744744744744743
Game 334| Score 14| Mean 23.71556886227545
Game 335| Score 38| Mean 23.758208955223882
Game 336| Score 19| Mean 23.74404761904762
Game 337| Score 36| Mean 23.780415430267063
Game 338| Score 28| Mean 23.792899408284022
Game 339| Score 52| Mean 23.876106194690266
Game 340| Score 40| Mean 23.923529411764704
Game 341| Score 30| Mean 23.941348973607038
Game 342| Score 47| Mean 24.00877192982456
Game 343| Score 29| Mean 24.02332361516035
Game 344| Score 36| Mean 24.058139534883722
Game 345| Score 14| Mean 24.028985507246375
Game 346| Score 31| Mean 24.04913294797688
Game 347| Score 31| Mean 24.069164265129682
Game 348| Score 19| Mean 24.054597701149426
Game 349| Score 13| Mean 24.022922636103154
Game 350| Score 31| Mean 24.042857142857144
Game 351| Score 47| Mean 24.108262108262107
Game 352| Score 42| Mean 24.15909090909091
Game 353| Score 37| Mean 24.195467422096318
Game 354| Score 30| Mean 24.21186440677966
Game 355| Score 48| Mean 24.27887323943662
Game 356| Score 38| Mean 24.31741573033708
Game 357| Score 34| Mean 24.34453781512605
Game 358| Score 30| Mean 24.360335195530727
Game 359| Score 30| Mean 24.376044568245124
Game 360| Score 40| Mean 24.419444444444444
Game 361| Score 25| Mean 24.42105263157895
Game 362| Score 16| Mean 24.39779005524862
Game 363| Score 24| Mean 24.39669421487603
Game 364| Score 38| Mean 24.434065934065934
Game 365| Score 46| Mean 24.493150684931507
Game 366| Score 35| Mean 24.52185792349727
Game 367| Score 24| Mean 24.52043596730245
Game 368| Score 14| Mean 24.491847826086957
Game 369| Score 28| Mean 24.501355013550135
Game 370| Score 25| Mean 24.502702702702702
